Filings Report,,,,,,,,,,
"Generated on Monday, 19 October 2020 at 18:53 PDT",,,,,,,,,,
,,,,,,,,,,
CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1083743,Secondary,"Flux Power Holdings, Inc.","Vista, CA",FLUX,Nasdaq NM,2020-10-16,-,-,$50.0 mil.,Shelf Registration (mixed)
1437491,Secondary,"Ecoark Holdings, Inc.","Rogers, AR",ZEST,OTC BB,2020-10-16,-,-,$80.0 mil.,Shelf Registration (mixed)
1705843,Secondary,"Calyxt, Inc.","New Brighton, MN",CLXT,Nasdaq NM,2020-10-16,-,-,$15.0 mil.,H.C. Wainwright & Co.
1335112,Secondary,"Logiq, Inc.","New York, NY",LGIQ,Nasdaq NM,2020-10-15,-,-,$0.750 mil.,Shelf Registration
1365038,Secondary,Leaf Group Ltd.,"Santa Monica, CA",LFGR,NYSE,2020-10-14,-,-,$100.0 mil.,Shelf Registration (mixed)
1459839,Secondary,"SI-BONE, Inc.","Santa Clara, CA",SIBN,Nasdaq NM,2020-10-14,-,-,$70.2 mil.,"Morgan Stanley, BofA Securities, Cantor, JMP Securities, Needham & Company"
1455863,Secondary,Americold Realty Trust,"Atlanta, GA",COLD,NYSE,2020-10-13,-,-,"$1,212.2 mil.","BofA Securities, Goldman Sachs & Co., Citigroup"
885740,Secondary,Sapiens International Corporation N.V.,"Willemstad, Curacao, NETHERLANDS",SPNS,Nasdaq NM,2020-10-13,-,-,$100.0 mil.,"Goldman Sachs & Co., J.P. Morgan, Citigroup, Jefferies, Needham & Company, William Blair & Co."
72444,Secondary,"Vaxart, Inc.","South San Francisco, CA",VXRT,Nasdaq NM,2020-10-13,-,-,$250.0 mil.,"Jefferies, Piper Sandler"
1721741,Secondary,"Lazydays Holdings, Inc.","Seffner, FL",LAZY,Nasdaq NM,2020-10-13,-,-,N/A,"Baird, Craig-Hallum Capital Group, Raymond James"
1350653,Secondary,Alphatec Holdings Inc.,"Carlsbad, CA",ATEC,Nasdaq NM,2020-10-13,-,-,$100.0 mil.,"Morgan Stanley, Cowen, Canaccord Genuity   , Lake Street Capital Markets, Northland Capital Markets"
1712463,Secondary,Ranpak Holdings Corp.,"Concord Township, OH",PACK,NYSE,2020-10-13,-,-,$150.0 mil.,Shelf Registration
884887,Secondary,Royal Caribbean Cruises Ltd.,"Miami, FL",RCL,NYSE,2020-10-13,-,-,$500.0 mil.,"Morgan Stanley, BofA Securities"
1505512,Secondary,Regulus Therapeutics Inc.,"San Diego, CA",RGLS,Nasdaq NM,2020-10-13,-,-,$7.76 mil.,H.C. Wainwright & Co.
1710340,Secondary,"Eton Pharmaceuticals, Inc.","Deer Park, IL",ETON,Nasdaq NM,2020-10-13,-,-,$19.6 mil.,National Securities
1017303,Secondary,Transact Technologies Inc,"Hamden, CT",TACT,Nasdaq NM,2020-10-13,-,-,$8.52 mil.,"Roth Capital Partners, Barrington Research Associates"
1393434,Secondary,"Ocular Therapeutix, Inc.","Bedford, MA",OCUL,Nasdaq NM,2020-10-13,-,-,$70.0 mil.,"Jefferies, Piper Sandler, Raymond James, JMP Securities"
1551986,Secondary,"9 Meters Biopharma, Inc.","Raleigh, NC",NMTR,Nasdaq NM,2020-10-09,-,-,$37.4 mil.,Truist Securities
1762303,Secondary,"Avita Therapeutics, Inc.","Valencia, CA",RCEL,Nasdaq NM,2020-10-09,-,-,$200.0 mil.,Shelf Registration (mixed)
1624422,Secondary,Erytech Pharma S.A.,"Lyon, FRANCE",ERYP,Nasdaq NM,2020-10-09,-,-,$30.0 mil.,Cowen
876378,Secondary,"TransEnterix, Inc.","Morrisville, NC",TRXC,NYSE,2020-10-09,-,-,$40.0 mil.,Cantor
1618182,Secondary,Playa Hotels & Resorts N.V.,"Amsterdam, NETHERLANDS",PLYA,Nasdaq NM,2020-10-09,-,-,$500.0 mil.,Shelf Registration (mixed)
1635886,Secondary,"BioCardia, Inc.","San Carlos, CA",BCDA,OTC BB,2020-10-09,-,-,$50.0 mil.,Shelf Registration (mixed)
1364250,Secondary,Douglas Emmett Inc.,"Santa Monica, CA",DEI,NYSE,2020-10-09,-,-,$400.0 mil.,"Wells Fargo Securities, Jefferies, J.P. Morgan"
1722926,Secondary,ASLAN Pharmaceuticals Ltd,"Singapore, SINGAPORE",ASLN,Nasdaq NM,2020-10-09,-,-,$7.50 mil.,Jefferies
159071,Secondary,American Resources Corp,"Fishers, IN",AREC,Nasdaq NM,2020-10-09,-,-,$13.0 mil.,Kingswood Capital Markets
1549084,Secondary,"Ekso Bionics Holdings, Inc.","Richmond, CA",EKSO,Nasdaq NM,2020-10-09,-,-,$7.50 mil.,H.C. Wainwright & Co.
1095981,Secondary,"Plus Therapeutics, Inc.","Austin, TX",PSTV,Nasdaq NM,2020-10-09,-,-,$100.0 mil.,Shelf Registration (mixed)
1009759,Secondary,Capstone Turbine Corp.,"Chatsworth, CA",CPST,Nasdaq NM,2020-10-08,-,-,$18.9 mil.,H.C. Wainwright & Co.
839470,Secondary,Westwater Resources Inc.,"Centennial, CO",WWR,Nasdaq NM,2020-10-08,-,-,$43.1 mil.,Cantor
1661053,Secondary,"Hancock Jaffe Laboratories, Inc.","Irvine, CA",HJLI,Nasdaq NM,2020-10-08,-,-,$3.92 mil.,Ladenburg Thalmann
147333,Secondary,"Nova LifeStyle, Inc.","Commerce, CA",NVFY,Nasdaq NM,2020-10-08,-,-,$60.0 mil.,Shelf Registration (mixed)
1495240,Secondary,Gladstone Land Corp.,"McLean, VA",LAND,Nasdaq NM,2020-10-07,-,-,$23.8 mil.,"Ladenburg Thalmann, B. Riley FBR"
1253689,Secondary,"GlycoMimetics, Inc.","Gaithersburg, MD",GLYC,Nasdaq NM,2020-10-07,-,-,$100.0 mil.,Cowen
1167419,Secondary,"Riot Blockchain, Inc.","Castle Rock, CO",RIOT,Nasdaq NM,2020-10-07,-,-,$100.0 mil.,Shelf Registration (mixed)
827876,Secondary,"CleanSpark, Inc.","Bountiful, UT",CLSK,Nasdaq NM,2020-10-06,-,-,$40.0 mil.,H.C. Wainwright & Co.
1401708,Secondary,NanoString Technologies Inc.,"Seattle, WA",NSTG,Nasdaq NM,2020-10-06,-,-,$200.0 mil.,"J.P. Morgan, UBS Investment Bank, Cowen"
